,dateOfSleep,duration,minutesAsleep,minutesAwake,minutesToFallAsleep,asleep.minutes,awake.minutes,deep.minutes,light.minutes,rem.minutes,wake.minutes
0,2018-12-02,34020000,497,70,0,0.0,0.0,69.0,265.0,163.0,70.0
1,2018-12-03,9900000,153,12,0,153.0,0.0,0.0,0.0,0.0,0.0
2,2018-12-03,24660000,370,41,0,0.0,0.0,61.0,227.0,82.0,41.0
3,2018-12-04,20160000,295,41,0,0.0,0.0,60.0,146.0,89.0,41.0
4,2018-12-05,28260000,402,69,0,0.0,0.0,71.0,229.0,102.0,69.0
5,2018-12-05,1980000,28,1,4,28.0,0.0,0.0,0.0,0.0,0.0
6,2018-12-06,23820000,321,76,0,0.0,0.0,42.0,199.0,80.0,76.0
7,2018-12-06,6060000,92,3,3,92.0,0.0,0.0,0.0,0.0,0.0
8,2018-12-07,27720000,383,79,0,0.0,0.0,48.0,223.0,112.0,79.0
9,2018-12-08,37920000,523,109,0,0.0,0.0,92.0,273.0,158.0,109.0
10,2018-12-09,33720000,500,62,0,0.0,0.0,112.0,247.0,141.0,62.0
11,2018-12-10,33720000,472,90,0,0.0,0.0,129.0,221.0,122.0,90.0
12,2018-12-11,32340000,474,65,0,0.0,0.0,92.0,267.0,115.0,65.0
13,2018-12-12,19740000,293,36,0,0.0,0.0,84.0,151.0,58.0,36.0
14,2018-12-13,31380000,462,61,0,0.0,0.0,99.0,252.0,111.0,61.0
15,2018-12-14,24480000,350,58,0,0.0,0.0,80.0,194.0,76.0,58.0
16,2018-12-15,35520000,526,66,0,0.0,0.0,66.0,294.0,166.0,66.0
17,2018-12-16,31740000,480,49,0,0.0,0.0,106.0,265.0,109.0,49.0
18,2018-12-17,17880000,263,35,0,0.0,0.0,64.0,150.0,49.0,35.0
19,2018-12-18,27960000,454,9,3,454.0,1.0,0.0,0.0,0.0,0.0
20,2018-12-19,26460000,376,65,0,0.0,0.0,62.0,172.0,142.0,65.0
21,2018-12-20,22020000,325,42,0,0.0,0.0,48.0,189.0,88.0,42.0
22,2018-12-21,35340000,525,64,0,0.0,0.0,86.0,257.0,182.0,64.0
23,2018-12-22,34320000,516,56,0,0.0,0.0,128.0,241.0,147.0,56.0
24,2018-12-24,34380000,429,144,0,0.0,0.0,64.0,299.0,66.0,144.0
25,2018-12-27,21960000,353,13,0,353.0,0.0,0.0,0.0,0.0,0.0
26,2018-12-29,10140000,163,6,0,163.0,0.0,0.0,0.0,0.0,0.0
27,2018-12-29,26040000,340,94,0,0.0,0.0,60.0,213.0,67.0,94.0
28,2018-12-30,27660000,424,37,0,0.0,0.0,78.0,257.0,89.0,37.0
29,2018-12-31,28680000,394,84,0,0.0,0.0,62.0,232.0,100.0,84.0
30,2019-01-02,50100000,710,125,0,0.0,0.0,108.0,390.0,212.0,125.0
31,2019-01-03,8220000,130,7,0,130.0,1.0,0.0,0.0,0.0,0.0
32,2019-01-04,26220000,365,72,0,0.0,0.0,58.0,225.0,82.0,72.0
33,2019-01-05,17640000,252,42,0,0.0,0.0,27.0,190.0,35.0,42.0
34,2019-01-05,5340000,83,6,0,83.0,1.0,0.0,0.0,0.0,0.0
35,2019-01-06,15960000,263,2,0,263.0,0.0,0.0,0.0,0.0,0.0
36,2019-01-06,6420000,99,8,0,99.0,6.0,0.0,0.0,0.0,0.0
37,2019-03-25,22140000,326,43,0,0.0,0.0,28.0,211.0,87.0,43.0
38,2019-03-26,23880000,327,71,0,0.0,0.0,35.0,231.0,61.0,71.0
39,2019-03-27,31440000,479,45,0,0.0,0.0,80.0,226.0,173.0,45.0
40,2019-03-28,22620000,333,44,0,0.0,0.0,80.0,168.0,85.0,44.0
41,2019-03-28,4140000,62,7,0,62.0,0.0,0.0,0.0,0.0,0.0
42,2019-03-29,29700000,495,0,0,495.0,0.0,0.0,0.0,0.0,0.0
43,2019-03-30,22680000,306,72,0,0.0,0.0,52.0,216.0,38.0,72.0
44,2019-04-01,22560000,331,45,0,0.0,0.0,63.0,165.0,103.0,45.0
45,2019-04-02,31200000,468,52,0,0.0,0.0,65.0,264.0,139.0,52.0
46,2019-04-03,5340000,77,4,8,77.0,0.0,0.0,0.0,0.0,0.0
47,2019-04-03,32160000,473,63,0,0.0,0.0,81.0,249.0,143.0,63.0
48,2019-04-05,12300000,181,24,0,0.0,0.0,36.0,101.0,44.0,24.0
49,2019-04-17,4380000,69,4,0,69.0,0.0,0.0,0.0,0.0,0.0
50,2019-04-18,3960000,65,1,0,65.0,0.0,0.0,0.0,0.0,0.0
51,2019-04-25,6300000,105,0,0,105.0,0.0,0.0,0.0,0.0,0.0
52,2019-05-02,7620000,101,26,0,101.0,0.0,0.0,0.0,0.0,0.0
53,2019-05-09,6000000,93,7,0,93.0,2.0,0.0,0.0,0.0,0.0
54,2019-05-10,7680000,126,2,0,126.0,0.0,0.0,0.0,0.0,0.0
55,2019-05-11,6000000,93,7,0,93.0,0.0,0.0,0.0,0.0,0.0
56,2019-05-13,3600000,56,4,0,56.0,0.0,0.0,0.0,0.0,0.0
57,2019-05-23,7920000,121,11,0,121.0,0.0,0.0,0.0,0.0,0.0
58,2019-05-30,3960000,63,3,0,63.0,0.0,0.0,0.0,0.0,0.0
59,2019-07-04,13800000,226,4,0,226.0,0.0,0.0,0.0,0.0,0.0
60,2019-07-04,14340000,239,0,0,239.0,0.0,0.0,0.0,0.0,0.0
61,2019-07-11,4380000,68,5,0,68.0,0.0,0.0,0.0,0.0,0.0
62,2019-08-01,6360000,99,4,0,99.0,0.0,0.0,0.0,0.0,0.0
